batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five_overs_runs,runs_x
India,South Africa,Colombo,59,69,7,6.9411764705882355,36.0,152
Australia,India,Sydney,76,61,7,7.728813559322034,34.0,164
England,West Indies,Kolkata,13,100,8,3.9,13.0,155
India,New Zealand,Hamilton,4,115,10,4.8,4.0,179
India,England,Manchester,7,113,10,6.0,7.0,165
Sri Lanka,South Africa,Delhi,120,3,0,6.153846153846154,25.0,120
South Africa,India,Nottingham,97,34,8,6.767441860465116,36.0,130
Sri Lanka,Pakistan,Colombo,85,41,8,6.455696202531645,39.0,139
South Africa,New Zealand,London,55,63,9,5.7894736842105265,22.0,128
Australia,South Africa,Durban,54,90,9,10.8,52.0,157
Sri Lanka,Pakistan,Abu Dhabi,115,34,7,8.023255813953488,28.0,141
India,New Zealand,Delhi,80,60,10,8.0,41.0,202
India,England,Kolkata,100,9,2,5.405405405405405,17.0,120
New Zealand,South Africa,Durban,112,39,7,8.296296296296296,38.0,151
Pakistan,South Africa,Cape Town,24,97,10,6.260869565217392,24.0,176
West Indies,India,Barbados,2,116,10,3.0,2.0,169
West Indies,Pakistan,St Lucia,82,57,9,7.809523809523809,44.0,150
Afghanistan,India,St Lucia,31,79,7,4.536585365853658,23.0,115
South Africa,England,Mumbai,83,84,10,13.833333333333334,81.0,229
Australia,West Indies,Barbados,85,61,7,8.64406779661017,38.0,97
Bangladesh,Sri Lanka,Colombo,96,62,8,9.931034482758621,46.0,176
South Africa,Australia,Sydney,98,45,8,7.84,37.0,145
Australia,New Zealand,Auckland,133,37,6,9.614457831325302,55.0,214
Pakistan,New Zealand,Auckland,112,13,2,6.280373831775701,26.0,143
Australia,India,Melbourne,41,79,6,6.0,31.0,132
India,New Zealand,Wellington,29,98,9,7.909090909090909,29.0,149
India,Pakistan,Durban,36,77,6,5.023255813953488,26.0,141
Australia,India,Sydney,0,119,10,0.0,0.0,194
West Indies,New Zealand,Auckland,23,83,9,3.72972972972973,17.0,126
Bangladesh,Sri Lanka,Colombo,117,50,8,10.028571428571428,44.0,176
Sri Lanka,New Zealand,Chittagong,65,53,7,5.82089552238806,29.0,119
New Zealand,Pakistan,Cape Town,37,86,10,6.529411764705882,36.0,143
Sri Lanka,Pakistan,Colombo,46,86,8,8.117647058823529,41.0,172
South Africa,West Indies,Nagpur,106,20,4,6.36,34.0,122
England,Pakistan,Dubai,78,53,7,6.985074626865671,37.0,160
New Zealand,South Africa,Hamilton,144,20,7,8.64,47.0,173
Sri Lanka,India,Mumbai,33,86,7,5.823529411764706,27.0,135
Pakistan,South Africa,Abu Dhabi,49,63,5,5.157894736842105,20.0,120
Bangladesh,India,Colombo,21,102,9,7.0,21.0,139
South Africa,India,Johannesburg,94,54,9,8.545454545454545,39.0,219
Pakistan,Sri Lanka,Colombo,4,115,10,4.8,4.0,175
India,West Indies,Mumbai,10,111,10,6.666666666666667,10.0,240
India,Sri Lanka,Colombo,26,94,8,6.0,26.0,174
Pakistan,New Zealand,Dubai,135,10,5,7.363636363636363,28.0,153
Sri Lanka,West Indies,London,72,60,10,7.2,36.0,158
Australia,India,Chandigarh,54,94,9,12.461538461538462,54.0,160
Sri Lanka,Bangladesh,Pallekele,45,95,9,10.8,45.0,198
England,Australia,Southampton,163,7,4,8.654867256637168,52.0,179
South Africa,Sri Lanka,Centurion,70,64,9,7.5,48.0,180
South Africa,Pakistan,Johannesburg,12,111,10,8.0,12.0,153
India,South Africa,St Lucia,66,61,8,6.711864406779661,40.0,186
West Indies,New Zealand,Lauderhill,86,51,8,7.478260869565218,42.0,177
South Africa,Australia,Melbourne,41,82,8,6.473684210526316,31.0,101
Australia,India,Sydney,132,30,7,8.8,41.0,194
Pakistan,England,Dubai,115,9,3,6.216216216216216,39.0,129
South Africa,New Zealand,Barbados,33,95,10,7.92,33.0,170
India,Bangladesh,Nottingham,40,91,10,8.275862068965518,40.0,180
South Africa,West Indies,Johannesburg,41,93,8,9.11111111111111,41.0,231
Sri Lanka,Pakistan,Lahore,75,55,6,6.923076923076923,31.0,147
South Africa,West Indies,London,87,59,9,8.557377049180328,41.0,183
India,New Zealand,Christchurch,58,80,6,8.7,37.0,162
Pakistan,Bangladesh,Mirpur,115,17,4,6.699029126213592,28.0,135
New Zealand,Pakistan,Dubai,127,11,5,6.990825688073395,41.0,153
Sri Lanka,England,Pallekele,41,89,9,7.935483870967742,38.0,169
Bangladesh,Australia,Cape Town,86,36,7,6.142857142857143,28.0,123
England,Australia,Melbourne,30,98,9,8.181818181818182,30.0,130
Sri Lanka,Pakistan,Abu Dhabi,69,53,9,6.17910447761194,27.0,124
Australia,Pakistan,Dubai,88,67,10,9.962264150943396,59.0,168
India,Australia,Melbourne,97,54,9,8.818181818181818,47.0,184
South Africa,Bangladesh,Mirpur,27,104,10,10.125,27.0,169
England,South Africa,Johannesburg,87,60,7,8.7,41.0,202
Pakistan,New Zealand,Auckland,38,89,9,7.354838709677419,38.0,171
